occupation,length_withoutcash,n,freq,type,welfareINDX,freq1
0,0,261,20.170015,Informal,0,34.389489
0,1,184,14.219474,Informal,0,
0,2,424,32.766615,Informal,1,65.61051
0,3,307,23.724884,Informal,1,
0,4,118,9.119011,Informal,1,
1,0,246,35.294118,Formal,0,54.806313
1,1,136,19.512195,Formal,0,
1,2,171,24.533716,Formal,1,45.193688
1,3,114,16.355811,Formal,1,
1,4,30,4.304161,Formal,1,
