occupation,length_withoutcleanh20,n,freq,type,welfareINDX,freq1
0,0,695,53.709428,Informal,0,68.238022
0,1,188,14.528594,Informal,0,
0,2,232,17.928903,Informal,1,31.761979
0,3,114,8.809892,Informal,1,
0,4,65,5.023184,Informal,1,
1,0,450,64.56241,Formal,0,77.761836
1,1,92,13.199426,Formal,0,
1,2,91,13.055954,Formal,1,22.238164
1,3,42,6.025825,Formal,1,
1,4,22,3.156385,Formal,1,
