occupation,length_withoutfuel,n,freq,type,welfareINDX,freq1,
0,0,900,69.5517774,Informal,0,87.0170015,100
0,1,226,17.4652241,Informal,0,,
0,2,104,8.0370943,Informal,1,12.9829985,
0,3,58,4.4822257,Informal,1,,
0,4,6,0.4636785,Informal,1,,
1,-1,1,0.143472,Formal,-1,,
1,0,521,74.748924,Formal,0,89.2395983,100
1,1,100,14.3472023,Formal,0,,
1,2,60,8.6083214,Formal,1,10.7604017,
1,3,13,1.8651363,Formal,1,,
1,4,2,0.286944,Formal,1,,
