"","RESPNO","URBRUR","REGION","COUNTY","EA_SVC_A","EA_SVC_B","EA_SVC_C","EA_SVC_D","EA_FAC_A","EA_FAC_B","EA_FAC_C","EA_FAC_D","EA_FAC_E","EA_FAC_F","EA_FAC_G","EA_SEC_A","EA_SEC_B","EA_SEC_C","EA_SEC_D","EA_SEC_E","EA_ROAD_A","EA_ROAD_B","NOCALL_1","NOCALL_1OTHER","NOCALL_2","NOCALL_2OTHER","NOCALL_3","NOCALL_4","NOCALL_5","NOCALL_6","NOCALL_7","PREVINT","THISINT","ADULT_CT","CALLS","DATEINTR","STRTIME","Q1","Q2","Q2OTHER","Q3","Q4A","Q4B","Q5","Q6","Q7","Q8A","Q8B","Q8C","Q8D","Q8E","Q8F","Q9","Q10A","Q10B","Q11A","Q11B","Q12A","Q12B","Q12C","Q12D","Q12E","Q13","Q14","Q15A","Q15B","Q15C","Q16","Q17","Q18","Q19A","Q19B","Q20A","Q20B","Q20C_KEN","Q21","Q22","Q23A","Q23B","Q23C","Q23D","Q24A","Q24B","Q24C","Q24D","Q24E","Q24F","Q24G_KEN","Q25A","Q25B","Q26A","Q26B","Q26C","Q26D","Q26E","Q26F","Q27A","Q27B","Q27C","Q27D","Q27E","Q28A","Q28B","Q28C","Q29A","Q29B","Q29C","Q29D","Q29E","Q29F","Q29G","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42A","Q42B","Q42C","Q43","Q44","Q45A","Q45B","Q45C","Q45D","Q45E","Q46","Q47A","Q47B","Q48A","Q48B","Q48C","Q48D","Q48E","Q48F","Q49","Q50","Q51A","Q51B","Q51C","Q51D","Q51E_KEN","Q52A","Q52B","Q52C","Q52D","Q52E","Q52E1_KEN","Q52F","Q52G","Q52H","Q52I","Q52J","Q52K","Q52L","Q52M_KEN","Q53A","Q53B","Q53C","Q53D","Q53D1_KEN","Q53E","Q53E1_KEN","Q53F","Q53G","Q53H","Q53I","Q53J","Q54","Q55A","Q55B","Q55C","Q55D","Q55E","Q55F","Q55G","Q55H","Q55I","Q55J","Q55K","Q55L","Q56","Q57A","Q57B","Q58","Q58OTHER","Q59A","Q59B","Q60PT1","Q60PT1OTHER","Q60PT2","Q60PT2OTHER","Q60PT3","Q60PT3OTHER","Q61A","Q61B","Q62","Q63A","Q63B","Q63C","Q63D","Q63E_KEN","Q64","Q65A","Q65B","Q65C","Q66A","Q66B","Q66C","Q66D","Q66E","Q66F","Q66G","Q66H","Q66I","Q66J","Q66K","Q66L","Q66M","Q66N_KEN","Q67A","Q67B","Q67C_KEN","Q68A","Q68B","Q68C","Q68C1_KEN","Q68D","Q69A","Q69B","Q69C","Q70A","Q70B","Q71A","Q71B","Q71BOTHER","Q72","Q73A","Q73B","Q73C","Q73D","Q73E","Q74A","Q74AOTHER","Q74B","Q74BOTHER","Q75A","Q75B","Q76","Q77","Q78","Q79A","Q79B","Q80A","Q80AOTHER","Q80B","Q81A","Q81B","Q81C","Q81D","Q81E","Q82A_KEN","Q82B_KEN","Q82C_KEN","Q82D_KEN","Q82E_KEN","Q83A_KEN","Q83B_KEN","Q83C_KEN","Q83D_KEN","Q84A_KEN","Q84B_KEN","Q84C_KEN","Q84D_KEN","Q85A_KEN","Q85B_KEN","Q85C_KEN","Q85D_KEN","Q86_KEN","Q87","Q87OTHER","Q88A","Q88B","Q89A","Q89B","Q89C","Q89D","Q89E","Q90A","Q90B","Q90BOTHER","Q91A","Q91B","Q91C","Q91D","Q92A","Q92B","Q93A","Q93B","Q94","Q95","Q96A","Q96B","Q97","Q98A","Q98AOTHER","Q98B","Q99","Q99OTHER","Q100","ENDTIME","LENGTH","Q101","Q102","Q102OTHER","Q103","Q103OTHER","Q104","Q105","Q106","Q107A","Q107B","Q107C","Q107D","Q107E","Q108","Q110A","Q110B","Q110C","Q110D","Q110E","Q110F","Q112","Q113","Q114","Q115","Q116","Q117","withinwt"
"1560","KEN1560",2,307,"Kilifi",1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,2,1,2014-11-27,61980,28,308,"",1,1,1,2,2,2,3,1,2,3,2,3,0,2,2,0,0,3,0,0,0,0,1,1,4,4,4,1,1,4,2,2,3,2,1,0,1,0,0,0,0,2,0,0,0,0,2,0,2,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,"","","",9999,9996,9996,9,3,1,4,1,4,1,2,4,1,9,9,5,4,2,1,4,1,2,1,1,1,9,1,1,0,1,9,3,3,2,0,1,1,2,3,0,3,0,0,0,1,2,2,0,3,0,3,2,3,3,3,2,2,2,1,1,3,0,1,2,0,0,2,1,1,0,3,0,4,0,7,7,7,7,7,7,7,7,7,9999,"",0,2,14,"",8,"",10,"",2,1,4,1,1,1,1,1,5,1,5,1,1,1,1,1,1,2,4,4,3,1,1,3,3,1,3,3,3,1,1,4,2,4,1,2,1,4,4,1,0,"",0,7,7,7,7,7,4,"",12,"",2,2,1,1,2,9,9,2,"",2,3,5,5,2,4,1,5,2,5,2,4,4,4,2,5,2,5,2,5,5,2,1,1,308,"",2,5,5,2,1,4,4,1,302,"",0,0,0,1,4,0,3,2,0,1,1,7,3,9,"",6,302,"",1,66000,67,2,1,"",4,"",3,1,4,1,1,0,0,0,1,1,1,1,1,1,1,"KEN09",25,1,2,302,8,0.606622755248835
"1561","KEN1561",1,307,"Kilifi",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,5,1,2014-11-25,37500,18,308,"",1,1,1,2,1,4,0,2,1,2,3,3,0,0,0,0,0,4,0,0,4,4,1,1,2,3,4,4,1,1,2,0,1,0,1,8,4,0,0,0,0,0,0,1,1,1,1,9,2,1,3,1,3,3,3,2,1,1,1,0,0,1,1,1,3,"","","",9999,9996,9996,1,1,4,1,4,4,4,1,4,4,2,2,5,5,5,1,4,2,3,1,1,0,2,3,3,2,0,1,3,3,2,3,2,2,2,3,1,3,3,3,3,1,3,1,3,0,0,1,1,3,3,3,0,0,1,3,0,3,9,1,3,0,0,2,3,4,1,4,0,7,7,7,7,7,7,7,7,0,7,7,7,"",1,0,8,"",14,"",20,"",3,9,9,1,1,1,1,1,9,7,3,1,3,3,3,3,1,2,3,3,2,3,2,3,3,1,4,3,2,4,3,3,3,3,1,1,2,4,7,1,0,"",0,7,7,7,7,7,4,"",11,"",3,3,1,1,1,9,9,1,"",1,1,4,3,0,4,9,9,4,9,9,4,3,3,2,1,4,5,1,1,5,5,4,4,308,"",1,5,3,3,3,3,3,0,9997,"",1,0,0,1,4,4,3,1,0,1,0,7,2,18,"",6,9997,"",99,40500,50,2,1,"",4,"",2,1,2,0,0,0,0,0,3,1,1,1,2,2,1,"KEN06",28,2,2,301,9,1.02847130849948
"1562","KEN1562",1,307,"Kilifi",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,2,1,2014-11-25,41400,40,308,"",1,1,1,1,1,2,1,1,0,0,3,3,0,1,4,0,0,4,3,0,0,0,1,1,4,4,4,4,1,1,1,2,3,2,1,1,2,1,0,0,0,2,0,0,0,2,0,9,2,1,3,1,3,3,3,2,3,2,0,0,0,1,1,1,1,"Freedom of choice in politics","","",3,9996,9996,3,4,4,1,1,4,1,1,4,5,2,1,5,5,5,1,1,0,3,1,2,1,3,1,2,1,1,3,3,1,2,2,2,3,2,2,1,3,1,1,1,0,0,0,1,1,0,1,1,2,1,2,2,2,2,3,3,3,9,3,2,1,1,2,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,8,"",0,0,1,"",8,"",24,"",1,9,5,1,1,1,1,1,4,7,3,1,1,1,1,1,1,2,3,3,3,1,1,3,4,1,2,2,2,2,1,1,1,3,3,3,3,4,3,5,1,"",0,7,7,7,7,7,4,"",14,"",3,3,1,1,4,1,1,1,"",2,3,4,3,5,4,0,1,4,1,2,3,4,3,2,5,1,5,4,1,5,1,1,1,308,"",1,5,4,3,1,4,3,0,9997,"",1,0,0,1,4,0,1,1,4,3,12,2,7,18,"",5,9997,"",4,45780,73,1,1,"",4,"",1,1,3,0,0,0,0,0,0,1,1,1,2,2,1,"KEN06",28,2,2,301,9,1.02847130849948
"1563","KEN1563",1,307,"Kilifi",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,5,1,2014-11-25,36720,30,4,"",2,4,4,4,3,3,0,0,0,0,0,7,1,1,0,0,0,4,4,3,3,3,2,0,3,4,4,4,1,1,3,2,3,1,1,2,9,0,0,0,0,0,0,0,0,0,0,0,7,7,2,2,2,2,2,2,1,1,1,1,0,3,3,3,1,"Freedom","","",1,9996,9996,1,1,1,3,3,1,1,2,3,1,1,1,5,5,5,1,4,2,1,1,2,2,9,1,1,1,1,2,1,1,2,0,2,1,1,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,0,2,1,2,0,7,7,3,0,7,7,3,0,7,7,7,7,7,10,"",0,1,23,"",27,"",24,"",2,9,3,1,1,1,1,1,9,3,4,1,2,2,2,2,1,1,3,3,3,1,2,4,4,1,3,3,2,3,3,3,3,3,3,3,3,3,3,5,1,"",0,7,7,7,7,7,2,"",11,"",2,2,1,1,4,0,0,1,"",1,2,3,5,5,4,0,4,5,5,3,3,3,3,3,5,5,5,3,4,4,2,1,2,4,"",3,5,4,4,1,3,4,0,9997,"",1,1,0,1,4,4,1,1,4,0,0,7,5,18,"",4,302,"",8,40920,70,2,1,"",4,"",1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,"KEN07",27,1,2,303,8,1.02847130849948
"1564","KEN1564",1,307,"Kilifi",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,4,1,2014-11-25,41400,40,4,"",1,2,4,5,2,1,0,0,0,0,0,7,0,0,0,0,0,3,4,4,4,4,3,1,3,3,3,3,1,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,9,1,2,3,1,3,3,3,2,1,0,1,1,1,1,4,4,3,"","","",9999,9996,9996,9,1,1,4,3,3,1,2,4,2,9,9,1,1,1,1,4,3,3,3,3,3,1,1,0,1,1,1,2,1,1,3,1,3,2,2,2,1,1,1,0,0,1,2,2,2,1,2,1,0,3,2,1,1,2,1,1,2,1,1,2,1,1,1,1,7,7,7,7,3,1,7,7,3,2,7,7,0,7,7,3,"",0,0,9995,"Drug addiction",23,"",24,"",2,0,0,1,1,1,1,1,9,4,3,1,2,2,3,2,1,2,1,1,3,1,1,3,3,3,3,3,3,2,2,1,2,9,3,3,3,3,2,5,1,"",0,7,7,7,7,7,15,"",12,"",2,2,1,2,4,0,0,3,"",5,2,5,3,6,5,1,4,4,3,2,4,4,4,2,5,1,5,3,4,5,1,2,4,9995,"Arab",3,5,3,3,1,3,3,0,9997,"",1,1,1,1,4,4,1,1,4,2,7,1,4,18,"",6,302,"",99,44940,59,1,4,"",4,"",1,1,4,0,0,0,0,0,2,1,1,1,1,1,1,"KEN07",27,1,2,303,8,1.02847130849948
"1565","KEN1565",1,307,"Kilifi",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,2,1,2014-11-25,36900,27,308,"",1,4,4,3,3,4,0,0,0,0,0,7,3,2,2,1,0,3,4,3,3,3,1,1,3,3,3,3,1,4,0,0,1,1,1,1,9,0,0,0,0,0,0,0,0,0,2,0,1,2,3,1,3,2,3,2,1,1,1,0,0,1,1,1,1,"Rule of the people","","",2,9996,9996,3,3,2,4,1,2,2,1,4,1,2,3,4,4,4,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,3,2,2,0,2,2,2,2,1,2,2,2,2,2,1,1,1,9,3,2,1,2,2,1,1,2,1,1,1,9,1,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,"",0,0,3,"",20,"",5,"",2,0,3,1,1,1,1,1,4,7,3,2,2,2,1,2,2,2,3,3,3,1,2,2,3,2,2,3,3,3,3,3,3,9,1,1,1,3,4,4,1,"",0,7,7,7,7,7,2,"",14,"",3,3,3,1,7,1,1,3,"",3,2,4,3,5,4,8,3,2,3,2,2,2,2,2,4,4,4,1,4,4,2,1,4,308,"",1,3,2,3,1,3,3,8,9997,"",1,1,0,1,4,3,1,1,4,3,8,2,6,18,"",5,9998,"",1,41400,75,2,1,"",1,"",1,1,1,0,0,0,0,0,1,1,2,1,2,2,1,"KEN08",22,1,2,301,6,1.02847130849948
"1566","KEN1566",1,307,"Kilifi",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,3,1,2014-11-25,41940,34,310,"",1,2,2,3,4,-1,0,0,0,0,0,7,0,1,0,0,0,4,3,4,2,2,3,1,3,2,3,3,1,3,0,0,1,1,1,1,9,1,0,0,0,0,0,0,0,0,2,0,1,2,3,1,3,2,3,1,1,1,1,0,0,1,2,1,1,"Freedom of anything","","",1,9996,9996,3,3,1,3,1,1,2,2,3,1,2,2,4,4,4,1,2,1,1,1,1,1,2,1,1,1,1,2,3,1,1,2,1,3,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,4,7,7,3,0,3,1,7,7,7,7,7,7,0,7,7,6,"",0,1,3,"",23,"",4,"",2,0,1,1,1,1,1,1,3,3,7,2,3,3,2,2,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2,3,3,2,1,1,1,3,4,4,2,"",0,7,7,7,7,7,15,"",16,"",1,3,2,2,2,1,2,1,"",2,3,4,3,2,4,0,2,2,4,3,3,3,3,3,4,2,4,-1,4,4,2,2,1,310,"",1,3,3,3,2,3,3,0,9997,"",1,1,0,1,4,2,2,2,4,2,3,1,5,19,"",6,9998,"",0,46140,70,1,1,"",1,"",1,1,1,0,0,0,0,0,1,2,2,2,2,2,2,"KEN08",22,1,2,301,6,1.02847130849948
"1567","KEN1567",1,307,"Kilifi",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,7,1,2014-11-25,42660,25,9995,"Arab",1,1,1,3,2,2,0,0,0,0,0,7,0,2,2,0,0,4,4,0,3,3,1,0,4,4,4,3,1,4,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,7,3,2,3,3,3,3,1,1,1,0,0,1,1,1,1,"Freedom of expression","","",1,9996,9996,2,2,1,2,2,4,2,2,4,1,3,3,5,5,5,1,1,1,2,0,0,0,2,2,2,1,0,2,3,3,3,2,2,1,2,2,0,3,2,1,1,2,1,1,1,1,1,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,2,0,2,0,7,7,7,7,7,7,7,7,7,7,"",1,1,23,"",14,"",3,"",2,0,3,1,1,1,1,1,4,3,1,4,2,2,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,5,2,"",0,7,7,7,7,7,12,"",10,"",2,2,1,4,3,2,2,4,"",3,3,4,3,5,4,1,5,2,5,3,3,3,3,2,2,5,5,4,5,5,4,2,1,9995,"Arab",0,5,5,5,1,5,5,0,9997,"",0,0,0,1,4,3,2,2,4,1,0,7,5,18,"",6,9998,"",1,46740,68,2,4,"",4,"",1,1,4,1,1,0,0,0,0,1,1,1,1,1,1,"KEN09",25,1,2,302,8,1.02847130849948
"1568","KEN1568",1,307,"Kilifi",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,1,1,2014-11-25,37320,28,9995,"Arab",1,1,1,3,2,1,2,0,1,0,2,3,0,0,0,3,0,4,3,0,0,0,0,0,4,4,4,2,2,1,0,0,1,1,1,1,9,1,0,0,0,2,0,0,0,0,0,0,2,1,3,3,2,3,2,3,1,1,1,1,1,1,1,1,1,"Freedom of electing leaders","","",3,9996,9996,2,2,2,2,2,4,2,3,3,2,3,3,4,4,4,2,4,2,2,0,0,0,2,2,2,2,0,3,3,3,1,3,2,1,2,2,0,3,2,1,2,2,2,2,2,2,0,3,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,3,7,7,2,0,2,0,7,7,4,0,7,7,7,7,7,7,"",1,1,9995,"Drugs",3,"",9996,"",2,0,6,1,1,1,1,1,4,4,7,1,2,2,2,2,2,3,3,3,3,2,1,3,3,1,3,3,3,3,2,3,3,3,1,1,1,4,4,1,9999,"",0,7,7,7,7,7,4,"",14,"",2,2,4,1,3,9,9,2,"",2,3,4,5,5,4,1,4,2,5,3,4,4,4,2,5,2,5,1,5,5,1,1,1,9995,"Arab",0,3,5,5,3,5,5,0,9997,"",1,1,0,1,4,0,2,2,0,2,6,2,2,18,"",6,9997,"",8,42000,78,1,4,"",4,"",1,1,1,0,0,0,0,0,1,1,2,2,2,1,2,"KEN09",25,1,2,302,8,1.02847130849948
"1569","KEN1569",2,307,"Kilifi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,6,1,2014-11-26,45600,37,308,"",1,1,1,2,1,1,3,3,3,1,3,5,0,-1,-1,0,0,3,0,0,0,0,3,2,4,4,4,4,1,1,2,2,2,1,1,1,2,1,0,1,0,0,0,0,1,2,2,9,2,1,3,1,3,2,3,2,2,0,0,0,0,1,1,1,1,"Freedom to choose","Togetherness","",1,11,9996,3,4,1,4,1,1,1,1,4,1,2,2,3,2,5,1,1,1,2,1,1,0,3,1,2,1,1,3,3,1,1,3,2,2,3,2,2,3,0,0,1,1,0,0,1,2,0,3,2,3,3,2,2,3,3,3,3,3,9,2,2,1,1,2,1,3,1,4,2,7,7,7,7,3,1,7,7,0,7,7,8,"",0,0,17,"",16,"",13,"",1,9,4,1,1,1,1,1,4,8,2,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,3,3,2,1,1,4,3,3,3,3,4,5,1,"",0,7,7,7,7,7,7,"",18,"",3,3,1,1,3,1,1,1,"",1,3,5,3,6,4,0,1,1,1,2,4,4,3,1,1,5,5,4,5,5,1,1,2,308,"",2,5,4,4,1,4,2,0,9997,"",1,0,0,1,3,0,3,3,0,2,4,1,3,300,"African Inland Church",5,9997,"",1,50100,75,1,1,"",4,"",2,3,2,0,0,0,0,0,0,1,1,1,1,3,2,"KEN06",28,2,2,301,9,0.411636869633138
"1570","KEN1570",2,307,"Kilifi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,4,1,2014-11-26,40080,21,308,"",1,1,2,3,2,9,3,2,2,1,3,5,0,1,0,0,0,3,0,0,0,0,0,0,4,4,4,1,4,4,0,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,9,7,7,3,1,3,3,3,3,1,0,1,0,0,1,1,1,3,"","","",9999,9996,9996,3,1,4,1,1,4,4,1,4,4,8,9,5,5,5,1,4,2,2,0,1,0,0,3,3,2,1,1,3,3,2,3,1,2,2,2,0,1,2,2,2,2,0,0,3,2,0,9,3,3,3,2,2,2,3,3,3,3,9,9,1,1,1,2,3,3,0,4,2,7,7,7,7,7,7,7,7,0,7,7,7,"",1,0,13,"",20,"",1,"",1,9,9,1,1,1,1,1,4,2,4,1,1,1,1,1,1,3,3,4,1,1,3,2,2,1,1,1,1,3,2,1,1,3,0,0,3,3,4,1,0,"",0,7,7,7,7,7,17,"",18,"",3,3,1,1,1,9,9,1,"",1,1,9,3,6,3,9,1,4,4,9,4,4,4,1,1,5,5,1,5,5,1,1,4,308,"",0,5,3,5,1,4,3,8,9997,"",1,0,0,0,0,0,3,2,0,1,0,7,2,1,"",6,302,"",4,45060,83,2,1,"",4,"",2,3,3,0,0,0,0,0,1,1,1,1,1,2,1,"KEN06",28,2,2,301,9,0.411636869633138
"1571","KEN1571",2,307,"Kilifi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,3,1,2014-11-26,41100,18,308,"",9,1,4,9,2,9,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,2,0,4,4,4,9,9,4,1,0,1,1,0,8,9,0,0,0,0,0,0,0,0,0,0,9,7,7,3,1,3,3,3,3,1,1,1,0,0,1,1,1,3,"","","",9999,9996,9996,9,3,1,4,4,4,1,1,4,1,9,9,5,5,5,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,3,9,9,9,9,2,2,9,9,2,2,2,2,2,3,3,3,3,3,9,9,1,1,9,3,9,9,9,9,9,9,9,1,0,7,7,3,0,7,7,7,7,7,7,7,7,7,3,"",1,1,1,"",4,"",8,"",9,9,3,1,1,1,1,1,9,3,7,1,2,1,1,1,1,3,3,3,2,1,1,3,3,2,3,2,3,3,3,3,3,3,2,1,3,9,9,9,2,"",0,7,7,7,7,7,9999,"",9996,"",3,3,2,2,4,9,9,1,"",1,3,5,3,9,5,0,9,9,9,3,9,9,9,3,5,5,5,1,5,5,2,2,1,308,"",9,5,3,4,1,3,4,0,9997,"",0,0,0,1,3,0,3,2,0,0,1,7,5,2,"",3,305,"",99,45180,68,2,1,"",4,"",1,1,4,0,0,0,0,0,1,1,3,3,3,3,3,"KEN07",27,1,2,303,8,0.411636869633138
"1572","KEN1572",2,307,"Kilifi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"",9997,"",9997,9997,9997,9997,9997,2,1,2,1,2014-11-26,46800,24,308,"",1,1,1,1,2,3,1,1,0,0,3,3,0,1,0,0,0,4,0,0,0,0,3,0,3,4,4,4,4,4,1,3,2,2,1,1,2,1,0,0,0,1,0,0,0,0,0,3,2,1,3,1,2,3,3,1,2,2,1,0,0,1,1,1,1,"Good leadership","Love for country","",8,4,9996,3,1,1,4,4,4,5,1,4,1,2,3,5,5,5,1,4,3,3,1,1,1,2,0,0,1,1,1,1,1,1,1,1,3,1,2,1,1,2,1,9,2,2,1,1,2,0,2,2,3,3,3,2,1,1,2,2,2,1,2,2,0,1,9,3,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,10,"",1,1,1,"",9995,"Drug addiction",23,"",1,1,6,1,1,1,1,1,5,3,5,1,1,1,1,1,1,2,3,3,3,2,2,3,3,2,3,3,3,2,2,1,2,9,3,3,3,2,2,5,2,"",2,0,0,0,0,1,17,"",9996,"",1,1,1,4,9,2,2,1,"",1,3,5,3,5,4,1,3,1,5,1,4,4,3,1,1,5,5,3,4,5,1,2,5,308,"",1,3,3,3,1,3,3,1,302,"",1,0,1,1,4,0,3,2,0,3,7,1,3,1,"",2,302,"",4,50760,66,1,1,"",4,"",1,1,2,0,0,0,0,0,1,1,1,1,1,1,1,"KEN07",27,1,2,303,8,0.411636869633138
"1573","KEN1573",2,307,"Kilifi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,3,1,2014-11-26,40020,29,308,"",1,2,1,2,3,3,2,2,2,3,1,4,0,2,2,0,0,3,2,1,0,0,1,0,2,3,2,3,2,4,2,0,3,2,1,1,1,1,0,0,0,0,0,0,0,2,2,0,1,2,3,2,3,3,2,3,2,1,1,1,1,2,1,1,3,"","","",9999,9996,9996,3,3,2,4,1,1,2,2,4,1,8,9,4,2,4,2,3,9,2,9,2,9,2,1,1,1,1,1,2,1,1,2,1,3,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,3,1,1,1,1,1,9,1,7,7,7,7,3,1,7,7,7,7,7,7,0,7,7,7,"",0,1,3,"",18,"",8,"",2,1,4,1,2,1,3,3,4,8,3,4,2,2,2,2,1,2,2,3,2,1,2,3,2,1,2,2,2,3,2,3,2,2,3,3,3,3,4,4,1,"",0,7,7,7,7,7,18,"",16,"",2,2,3,2,7,9,9,5,"",6,1,4,3,2,4,1,4,2,4,3,3,3,3,2,2,5,4,2,4,2,1,2,1,308,"",1,3,3,3,2,3,3,0,9997,"",1,0,0,1,4,1,3,2,0,1,0,7,3,1,"",4,9998,"",1,45000,83,2,1,"",4,"",2,3,1,0,0,0,0,0,2,1,2,2,2,2,2,"KEN08",22,1,2,301,6,0.411636869633138
"1574","KEN1574",2,307,"Kilifi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,2,1,1,1,2014-11-26,45600,-1,4,"",1,2,2,2,1,2,3,3,2,2,4,4,0,2,2,0,0,1,1,1,0,0,1,1,3,2,2,3,9,3,0,0,3,1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,7,7,2,1,2,2,1,2,1,1,1,1,1,2,2,1,3,"","","",9999,9996,9996,9,3,2,3,2,4,4,3,3,1,9,9,4,4,4,1,3,9,1,9,9,9,9,9,9,3,9,9,2,9,9,1,1,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,"",0,0,5,"",8,"",20,"",1,0,0,3,3,3,3,3,2,0,8,9,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,1,3,9,9,9,9,9,4,1,"",0,7,7,7,7,7,18,"",9996,"",3,3,4,1,7,9,9,9999,"",9,9,9,3,9,9999,9,9,9,9,2,9,9,9,2,9,9,9,2,9,9,9,9,1,308,"",1,3,3,3,2,2,3,1,9998,"",0,0,0,0,1,0,3,3,0,0,0,7,0,1,"",0,9999,"",8,50580,83,1,1,"",4,"",2,3,1,0,0,0,0,0,2,3,3,2,2,2,2,"KEN08",22,1,2,301,6,0.411636869633138
"1575","KEN1575",2,307,"Kilifi",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9997,"",9997,"",9997,9997,9997,9997,9997,1,2,2,1,2014-11-26,40440,35,308,"",1,1,1,2,1,9,3,2,2,2,3,3,0,2,2,0,0,2,0,0,0,0,0,0,2,4,4,1,4,2,2,2,3,2,1,0,1,0,0,0,0,2,0,0,0,2,3,0,2,1,3,3,3,3,2,3,2,1,1,1,0,1,1,1,3,"","","",9999,9996,9996,9,2,3,2,2,4,3,3,4,1,9,9,5,5,4,1,4,9,2,0,0,0,9,2,2,1,1,9,2,1,1,2,1,1,2,2,0,2,2,2,1,1,2,2,1,2,2,3,2,3,3,2,1,1,1,1,1,1,9,1,1,0,0,1,3,1,0,1,0,3,0,7,7,7,7,7,7,7,7,7,9999,"",1,1,4,"",17,"",10,"",2,9,9,1,1,1,1,1,9,8,4,1,1,1,1,1,1,1,3,3,3,1,2,3,2,1,4,4,4,4,2,4,3,4,1,1,1,9,4,1,0,"",0,7,7,7,7,7,9999,"",9996,"",2,2,4,2,9,9,9,9999,"",9,9,9,9,9,9999,9,9,2,5,9,4,4,4,0,4,4,5,1,4,5,2,2,1,308,"",2,3,5,5,1,5,5,0,9997,"",0,0,0,0,2,0,3,3,0,0,0,7,2,9,"",6,9998,"",3,45600,86,2,1,"",4,"",3,4,3,0,0,0,0,0,2,1,2,1,2,1,1,"KEN09",25,1,2,302,8,0.411636869633138
