"","RESPNO","URBRUR","PROVINCE","DISTRICT","HHOLDSE1","HHOLDSE2","HHOLDSE3","HHOLDSE4","HHOLDSE5","HHOLDSE6","HHOLDSE7","PREVINT","CURRINT","CALLS","DATEINTR","STRTIME","Q1","Q2","Q3","Q4A","Q4B","Q5","Q6A","Q6B","Q7A","Q7B","Q8A","Q8B","Q8C","Q8D","Q8E","Q8F","Q9A","Q9B","Q9C","Q10","Q11","Q12","Q13","Q14A","Q14B","Q14C","Q15A","Q15B","Q15C","Q16","Q17","Q18A","Q18B","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28A","Q28B","Q28C","Q28D","Q29","Q30","Q31A","Q31B","Q31C","Q32A","Q32A_KEN","Q32B","Q32C","Q32D","Q32E","Q32F","Q32G","Q33","Q34","Q35A","Q35PT1","Q35B","Q35PT2","Q35C","Q35PT3","Q36A","Q36B","Q36C","Q37","Q38","Q39","Q40","Q41","Q42","Q43A1","Q43A2","Q43B1","Q43B2","Q43C1","Q43C2","Q44A1","Q44A2","Q44B1","Q44B2","Q44C1","Q44C2","Q45","Q46","Q47","Q48","Q49","Q50","Q51","Q52A","Q52B","Q52C","Q52D","Q53A","Q53B","Q53C","Q53D","Q54A","Q54B","Q54C","Q54D","Q54E","Q54F","Q54G","Q55A","Q55B","Q55C","Q55D","Q55E","Q55F","Q55G","Q55H","Q55I","Q55J","Q55K","Q55M","Q56A","Q56B","Q56C","Q56D","Q56E","Q56F","Q56G","Q56H","Q56I","Q56J","Q57A","Q57B","Q57C","Q57D","Q57E","Q57F","Q58A","Q58B","Q58C","Q59","Q60","Q61","Q62A","Q62B","Q63PT1","Q63PT2","Q63PT3","Q64","Q65A","Q65B","Q65C","Q65D","Q65E","Q65F","Q65G","Q65H","Q65I","Q65J","Q65K","Q66","Q67A","Q67B","Q67C","Q67D","Q68A","Q68B","Q68C","Q69A_verb","Q69A_code","Q69B_verb","Q69B_code","Q70A","Q70B","Q70C","Q70D","Q71A","Q71B","Q71C","Q71D","Q71E","Q72A","Q72B","Q72C","Q73A","Q73B","Q73C","Q73D","Q73E","Q73F","Q73G","Q74A","Q74B","Q74C","Q74D","Q74E","Q74F","Q74G","Q75A","Q75B","Q75C","Q75D","Q75E","Q76A","Q76B","Q77A","Q77B","Q78A","Q78B","Q78C","Q78D","Q79","Q80A","Q80B","Q81","Q82","Q83","Q84A","Q84B","Q84C","Q84D","Q85","Q86","Q87","Q88A_KEN","Q88B_KEN","Q88C_KEN","Q88D_KEN","Q89A_KEN","Q89B_KEN","Q90","Q91","Q92","Q93A","Q93B","Q93C","Q93D","Q93E","Q93F","Q94","Q95","Q96A","Q96B","Q97","Q98","Q99","Q99A_KEN","Q99B_KEN","Q100","Q101","ENDTIME","LENGTH","Q102","Q103","Q104","Q105A","Q105B","Q105C","Q105D","Q105E","Q106","Q108A","Q108B","Q108C","Q108D","Q108E","Q108F","Q110","Q111","Q112","Q113","Q114","Q115","Q116A","Q116B","Q116C","Q116D","Q116E","Q116F","Q116G","Q116H","Q116I","Q116J","Q116K","Q117A","Q117B","Q118","withinwt"
"156","KEN1034",2,212,"MERU NORTH",997,997,997,997,997,997,997,2,1,1,2005-09-21,33360,25,0,204,2,4,4,4,4,4,4,1,0,1,0,0,7,0,0,0,1,2,3,2,4,3,3,4,0,2,1,1,2,3,3,1,3,3,1,2,3,3,4,3,0,0,2,1,6,4,4,2,0,0,0,0,0,2,0,0,2,1,"TOGETHERNESS",11,"NFR",996,"NFR",996,2,2,1,2,3,1,2,1,3,"PETER MUNYA",3,"KBCR",1,"MOODY AWORI",3,"NARC",3,"SEVEN",2,"GOVERNMENT",2,2,3,3,3,2,1,1,4,2,4,2,0,3,1,1,5,4,4,4,3,4,4,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,1,7,7,7,0,0,0,3,3,3,2,3,3,2,2,10,4,14,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,"YES",2,"YES",1,3,3,3,3,3,2,2,4,4,7,7,7,7,7,7,7,7,7,7,0,1,1,0,1,0,0,7,2,2,2,2,1,3,1,1,3,3,0,0,204,2,3,2,5,0,2,2,2,2,1,201,3,1,2,1,2,2,7,3,4,6,1,1,0,1,0,0,3,14,1,0,1,2,201,2,2,13,1,37560,70,1,4,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN61",31,2,1,200,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.162581576
"157","KEN0890",2,210,"KIRINYAGA",997,997,997,997,997,997,997,2,1,1,2005-09-13,42180,39,1,200,4,3,3,4,4,5,4,2,0,0,3,4,1,0,0,1,1,5,4,2,4,9,2,4,2,0,3,2,2,3,1,1,1,1,1,1,2,2,2,2,2,0,2,1,1,3,2,3,2,2,0,1,2,1,0,1,1,2,"FOLLOWING RULES OF THE LAND",8,"FREEDOM TO DO ANYTHING THAT PLEASES ME",1,"NFA",996,2,1,2,3,1,4,1,4,1,"MARTHA WANGARI",3,"ANDREW MAINA",3,"MOODY AWORI",3,"NARC",3,"TWICE",3,"A.G",2,1,4,4,4,1,1,1,4,5,5,4,0,2,9,0,4,4,3,5,2,4,4,3,3,3,1,3,1,3,1,2,3,3,9,1,1,2,1,2,3,2,1,9,1,0,0,0,0,0,0,1,3,1,1,3,9,0,1,8,1,20,1,3,2,1,1,2,3,4,2,2,2,3,4,3,3,3,2,4,2,3,"YES",2,"NO",2,1,3,1,4,3,1,2,4,3,7,7,7,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,2,2,2,2,3,3,2,2,3,3,0,0,200,3,2,0,5,0,2,2,2,1,1,201,3,1,2,2,3,1,0,2,2,5,1,1,0,1,0,0,1,1,2,2,0,997,201,1,7,1,1,46620,74,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN64",26,1,2,204,8,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1.176131786
"158","KEN0897",2,210,"MURANGA",3,3,6,997,997,997,997,2,1,1,2005-09-08,36720,18,0,200,4,4,3,2,2,4,4,0,0,0,0,2,0,0,0,0,3,3,2,3,4,4,4,4,1,0,3,1,5,2,1,1,1,4,3,2,4,1,3,1,0,0,0,5,7,2,1,0,0,1,0,0,0,2,0,0,1,1,"PERSONAL FREEDOM",1,"DIVISION OF POWER",4,"NFA",996,1,2,1,3,1,4,1,3,1,"KAMOTHO",3,"KAMAU WA KARIEG",3,"MOODY AWORI",3,"NARC",3,"DONT KNOW",9,"COMMON CITIZENS",2,2,2,2,2,1,3,5,9,2,2,2,0,1,1,1,5,4,4,5,4,4,4,2,0,2,1,2,1,3,0,2,2,3,1,1,3,2,1,2,2,1,0,0,0,1,0,7,0,1,0,3,2,1,1,2,1,1,1,24,3,13,2,3,2,1,3,4,3,3,2,2,3,4,4,1,1,4,2,3,1,2,"YES",2,"NO",2,2,4,2,4,2,7,2,4,4,7,3,7,1,0,1,0,0,0,0,0,1,1,0,2,0,0,4,7,2,7,2,3,1,1,3,3,3,1,1,200,3,3,1,2,0,1,1,1,0,1,201,3,3,2,1,3,1,1,5,2,4,1,1,0,0,0,0,1,22,0,0,0,997,201,1,7,19,1,40920,70,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN62",28,1,2,204,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.176131786
"159","KEN0070",1,213,"NAIROBI",997,997,997,997,997,997,997,1,2,1,2005-09-19,53100,39,0,201,1,1,2,3,3,3,4,2,2,2,2,3,2,1,0,0,1,1,1,4,3,1,1,4,4,3,0,0,3,3,4,2,1,1,1,3,3,3,3,1,0,0,0,2,7,1,1,0,0,0,0,0,0,0,0,3,1,1,"UNITY",4,"NFA",996,"NFA",996,2,2,2,3,2,3,2,5,4,"DAVID MWENJE",3,"MBATA",3,"MOODY AWORI",3,"NARC",3,"2",3,"HIGH COURT",3,2,2,2,2,2,1,1,4,4,3,4,3,2,1,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,2,2,1,1,1,0,0,0,1,0,1,2,1,1,2,0,0,1,1,3,24,0,1,1,1,1,1,2,2,2,2,1,3,2,2,3,9,9,1,1,2,"YES",2,"YES",1,1,3,4,4,1,7,1,2,3,7,5,7,1,2,1,0,3,2,0,0,1,1,0,2,0,0,6,7,2,3,3,1,2,2,1,3,3,1,0,201,4,4,3,3,0,0,0,0,0,0,997,7,1,1,3,1,1,0,5,10,4,1,1,1,0,0,0,3,6,2,3,1,6,997,2,2,1,2,57180,68,1,1,1,0,0,0,0,0,0,1,1,1,2,1,1,"KEN33",25,2,2,201,8,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.6566475
"160","KEN0043",1,213,"NAIROBI",997,997,997,997,997,997,997,2,1,1,2005-09-18,51600,41,1,201,2,3,3,4,3,3,5,1,2,1,0,2,7,0,1,1,2,3,1,4,2,2,1,4,4,4,2,2,3,3,1,3,2,2,1,1,2,5,2,1,0,1,1,1,1,2,3,1,2,2,0,0,1,0,0,1,1,1,"MULTIPARTISM",3,"NFA",996,"NFA",996,1,1,1,3,1,3,5,5,4,"OMONDI",3,"KBCR",1,"MOODY",3,"LDP",2,"2",3,"HIGH COURT",3,2,2,3,1,2,1,1,3,4,4,9,3,2,3,3,3,4,2,2,3,1,1,1,1,2,1,0,2,1,0,2,2,2,2,2,3,2,1,1,3,2,1,0,1,2,0,0,0,1,3,3,3,3,1,2,2,1,2,1,17,29,1,1,1,2,1,3,3,3,2,2,1,1,3,3,2,3,2,1,2,1,"YES",2,"NO",2,2,2,2,2,2,3,2,3,3,7,7,7,7,7,7,7,7,7,7,0,1,1,0,2,0,0,4,5,3,4,2,1,1,2,1,3,3,1,1,201,3,1,2,3,0,1,1,1,1,1,202,3,1,1,3,1,1,0,7,0,5,1,1,0,0,0,0,3,15,0,1,1,13,202,2,2,1,1,54180,43,1,1,3,0,0,0,0,0,0,1,1,1,1,1,1,"KEN33",25,2,2,201,8,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0.6566475
"161","KEN0580",1,216,"NAKURU",1,997,997,997,997,997,997,1,2,1,2005-09-13,52320,23,0,200,4,3,3,3,3,9,9,0,0,0,0,2,0,0,0,0,4,3,3,3,9,1,1,4,4,3,0,0,1,9,2,1,1,3,1,1,3,4,4,1,0,0,0,6,7,2,1,0,0,1,0,0,0,2,0,0,1,1,"BEING IN A POSOTION TO ELECTA YOUTH",3,"HAVING THA FREEDOM TO CHOOSE",1,"NFA",996,2,1,1,3,1,4,2,3,3,"KBCR",1,"NBCR",1,"AWORI",3,"NARC",3,"TWICE",3,"PARLIAMENT",2,2,2,2,9,1,1,2,9,5,5,4,9,1,9,1,9,4,4,9,9,4,3,1,1,2,9,1,1,2,1,2,1,2,2,1,2,2,9,9,2,9,1,1,1,7,7,7,7,7,0,3,3,3,2,3,9,9,9,3,21,24,1,2,1,2,1,3,2,4,2,2,2,2,3,2,2,9,9,2,1,1,"YES",2,"NO",2,9,3,9,3,1,9,1,9,2,7,7,7,7,7,7,7,7,7,7,0,1,1,0,1,1,0,2,2,2,2,2,9,9,2,2,3,3,1,1,200,3,3,9,4,0,3,2,1,1,0,997,7,1,9,9,2,1,0,6,3,5,1,0,0,0,0,0,1,23,0,0,0,997,999,9,7,19,2,56880,76,1,1,1,0,0,0,0,0,0,1,2,1,2,2,1,"KEN72",26,1,2,201,9,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0.763914589
"162","KEN1075",2,212,"MERU CENTRAL",997,997,997,997,997,997,997,2,1,1,2005-09-23,53100,41,1,204,2,2,2,3,3,4,4,1,0,1,0,2,0,0,0,0,2,2,3,2,3,3,2,4,0,1,2,1,4,3,3,2,2,2,1,2,2,3,3,3,0,0,2,1,1,3,3,1,0,0,0,0,0,0,0,1,1,1,"FREEDOM",1,"FIGHTING FRO MY RIGHTS",1,"NFR",996,1,1,1,3,1,3,3,2,2,"KIRAITU MURUNGI",3,"CHARLES",2,"UNCLE MOODY",3,"NARC",3,"THREE",2,"DK",9,1,3,3,4,1,1,1,3,4,2,4,3,3,0,0,5,5,3,5,3,4,4,3,2,3,3,3,0,3,3,3,3,3,3,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,1,3,2,3,1,1,2,1,2,7,10,3,2,3,2,2,2,3,4,4,2,2,3,4,3,3,3,3,2,4,4,3,"YES",2,"NO",2,2,4,2,4,3,2,2,4,4,7,7,7,0,1,0,0,0,0,0,0,1,1,1,0,0,0,7,7,6,6,3,3,3,1,1,3,3,1,2,204,2,3,1,3,0,3,3,2,2,1,201,2,2,2,1,2,1,2,5,2,5,1,1,0,1,0,0,4,20,0,2,1,12,201,1,7,1,1,57060,66,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN61",31,2,1,200,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.162581576
"163","KEN0962",2,210,"KIAMBU",8,997,997,997,997,997,997,2,1,1,2005-09-12,31800,39,1,200,5,5,2,4,4,4,4,1,1,0,1,3,0,0,0,1,1,1,4,4,4,2,2,4,3,3,3,1,1,5,1,5,1,1,1,4,4,4,4,2,0,0,2,1,1,3,2,1,0,1,0,0,0,2,0,1,1,2,"FREEDOM TO DO EVERYTHING IS GOOD",1,"FREEDOM FROM BEING HARASSED BY POLICE",12,"KNOWING YOUR RIGHTS",1,1,1,1,3,1,4,1,4,1,"PAUL MUITE",3,"LOGAN",3,"MOODY AWORI",3,"LDP",2,"TWICE",3,"AMOS WAKO",2,1,3,2,3,1,1,1,2,2,2,4,3,1,2,2,4,4,4,4,4,4,5,3,2,3,1,3,2,3,1,1,3,3,3,1,1,9,1,1,2,1,1,1,0,0,0,0,0,0,0,3,3,3,1,3,1,1,2,20,14,17,2,4,3,2,3,3,3,3,3,3,3,4,4,3,3,4,2,4,3,3,"YES",2,"NO",2,3,4,2,4,3,3,2,3,2,7,7,7,0,1,1,0,3,0,0,0,1,1,1,1,0,0,2,2,2,2,2,1,1,3,3,3,3,0,1,200,3,3,0,2,0,2,2,2,1,1,201,3,1,9,9,3,1,0,3,10,4,1,1,0,0,0,0,2,14,0,0,1,3,201,9,7,1,1,35220,57,1,200,1,1,0,0,0,0,0,1,1,1,1,1,1,"KEN63",26,2,1,200,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.176131786
"164","KEN0204",1,211,"MOMBASA",997,997,997,997,997,997,997,2,1,1,2005-09-15,35100,23,0,201,3,2,3,2,3,4,5,0,1,0,0,2,7,2,2,1,3,3,3,3,4,4,3,4,4,4,2,1,5,9,2,2,2,2,2,2,2,2,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,1,"EQUAL RIGHTS",6,"TRANSPARENT GOVERNMENT",8,"CORRUPTION  -FREE  COUNTRY",8,1,1,1,3,1,3,2,5,4,"RASHID",3,"MWAKUNYAPA",3,"MOODY AWORI",3,"NARC",3,"TWICE",3,"HIGH COURT",3,2,2,3,3,2,1,1,4,5,5,5,1,2,1,2,3,3,3,3,3,2,1,1,1,2,1,1,2,2,2,2,3,3,3,1,2,2,2,2,2,1,1,1,1,0,7,0,0,1,1,2,3,1,1,3,2,1,2,10,17,4,2,2,3,3,1,1,2,3,1,2,2,3,2,2,1,2,1,2,2,1,"YES",2,"NO",2,3,3,3,3,3,2,2,7,3,7,7,7,7,7,7,7,7,7,7,0,1,1,1,2,0,0,4,7,5,2,3,1,1,2,3,3,3,1,1,201,3,2,2,5,0,2,2,2,2,1,202,2,1,1,1,3,1,2,6,10,4,1,1,0,1,0,0,1,0,0,1,1,2,202,2,2,1,1,38160,51,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN33",25,2,2,201,8,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0.636087998
"165","KEN0152",2,211,"MOMBASA",997,997,997,997,997,997,997,1,2,1,2005-09-07,44460,23,0,201,3,4,3,3,4,2,3,1,2,0,1,3,1,1,1,0,3,3,3,3,3,2,2,4,4,3,1,1,3,3,2,1,2,2,1,1,2,3,3,2,0,0,0,2,7,2,2,1,0,0,0,0,0,3,0,0,4,1,"FREEDOM TO EXPRESS OWN OPINION",1,"FREEDOM TO ELECT OWN LEADERS",3,"NFA",996,2,1,1,3,2,3,2,3,2,"SHAKOMBO",3,"HAMISI",3,"MOODY AWORI",3,"NARC",3,"TWICE",3,"THE COURTS",3,2,2,3,4,2,2,3,3,3,4,2,1,2,1,2,4,4,3,4,2,3,2,1,1,2,1,1,1,2,1,2,1,2,3,1,1,1,1,1,2,1,2,1,1,0,7,7,0,0,1,3,3,2,2,2,2,1,2,3,4,24,1,2,1,2,1,3,3,3,1,1,3,3,3,3,3,3,2,2,2,2,"YES",2,"NO",2,2,4,2,4,2,7,7,7,3,7,5,5,7,7,7,7,7,7,7,0,1,1,1,2,0,0,2,2,2,2,2,0,1,2,1,3,3,1,1,201,3,3,1,3,0,2,2,1,1,0,997,7,1,1,3,2,2,7,5,14,5,1,0,0,0,0,0,3,6,1,1,1,1,201,2,2,19,2,48000,59,1,1,4,0,0,0,0,0,0,1,2,1,1,1,2,"KEN34",28,1,1,201,8,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1.095621548
"166","KEN0030",1,213,"NAIROBI",997,997,997,997,997,997,997,2,1,1,2005-09-17,58080,35,1,200,2,2,3,2,3,4,4,1,2,1,2,2,3,4,3,2,1,1,1,4,3,3,2,4,3,3,2,1,4,4,4,1,1,1,2,2,5,5,4,0,0,0,0,1,2,3,3,3,1,2,0,0,0,0,0,1,1,3,"DK",999,"NFA",996,"NFA",996,1,1,1,1,1,3,2,2,2,"NDOLO",3,"DK",9,"DK",9,"NAK",2,"1",2,"CITIZENS",2,3,8,9,9,1,1,1,9,5,5,9,2,2,9,3,3,3,3,3,3,3,3,2,1,2,2,2,2,1,1,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,2,1,1,1,1,2,2,1,0,1,1,23,17,1,2,2,3,2,1,2,3,1,2,1,3,5,1,1,1,1,2,2,2,"YES",2,"YES",1,1,4,1,4,2,7,2,2,3,7,3,7,1,2,1,2,3,2,1,0,1,1,1,3,0,0,4,6,2,4,3,1,1,2,1,3,3,1,1,200,2,1,1,4,0,0,0,0,0,0,997,7,1,1,2,1,2,7,2,10,4,0,1,0,1,0,0,4,6,0,2,0,997,998,2,2,13,1,61260,53,1,4,1,0,0,0,0,0,2,2,2,1,2,2,1,"KEN33",25,2,2,201,8,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.6566475
"167","KEN0877",1,210,"KIRINYAGA",997,997,997,997,997,997,997,2,1,1,2005-09-14,37800,24,1,200,1,1,2,3,3,2,2,0,0,0,0,3,7,0,0,0,4,4,4,4,3,2,1,4,4,4,3,2,1,1,1,1,1,4,4,1,4,4,4,2,0,0,3,1,1,3,3,2,3,0,0,0,0,0,0,0,2,1,"FREEDOM OF MOVEMENT",1,"GOVERNANCE",8,"FREEDOM OF SPEECH",1,1,1,1,3,1,4,4,4,4,"ALFRED NDERITU",3,"ANTONY MUCHEKE",3,"MOODY AWORI",3,"NARC",3,"MANY TIMES",2,"SPEAKER",2,2,4,4,4,1,1,1,4,4,4,4,0,2,0,1,4,4,4,5,5,1,5,1,0,2,0,1,0,2,0,0,2,2,2,0,2,2,3,2,3,1,0,2,1,7,7,0,7,2,1,3,3,3,1,2,0,0,0,23,17,3,3,3,1,1,1,1,3,4,2,2,3,3,1,1,1,4,1,4,1,1,"YES",2,"NO",2,1,4,1,4,3,2,2,7,4,7,7,7,0,2,3,3,1,1,1,0,1,1,1,3,0,0,2,2,2,2,2,3,3,2,2,3,3,0,1,200,2,2,0,5,0,3,2,1,0,1,201,2,2,2,1,4,1,0,5,2,4,1,1,0,1,0,0,1,0,1,1,1,10,206,2,2,19,1,42120,72,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN62",28,1,2,204,8,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0.691801863
"168","KEN0926",2,210,"MARAGUA",997,997,997,997,997,997,997,1,2,1,2005-09-09,34920,20,0,200,2,3,3,1,1,2,4,0,1,0,0,3,0,2,1,0,1,1,3,1,3,2,1,4,4,3,1,1,2,3,1,2,2,2,1,1,2,2,3,2,0,0,0,5,7,1,1,0,0,1,0,0,0,0,0,0,1,1,"FREEDOM TO CHOOSE WHT ONE WANTS TO DO",1,"NFA",996,"NFA",996,1,1,1,3,1,4,2,4,1,"KBCR",1,"DK",9,"MOODY",3,"NARC",3,"DK",9,"PRESIDENT",2,2,3,2,3,1,1,1,4,4,4,4,1,2,9,1,4,4,3,3,3,2,4,3,2,1,2,3,9,2,2,2,2,3,2,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,2,3,9,1,3,1,1,1,23,4,13,0,3,1,2,2,2,3,4,2,3,2,3,4,2,2,3,1,3,2,2,"YES",2,"NO",2,2,3,2,4,3,2,2,4,3,7,7,7,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,2,2,2,2,3,2,1,1,3,2,0,1,200,3,3,9,5,0,2,2,1,0,0,997,7,2,2,2,3,1,2,7,4,6,1,1,0,0,0,0,0,23,1,1,0,997,201,1,7,19,2,39120,70,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,"KEN64",26,1,2,204,8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1.176131786
"169","KEN0023",1,213,"NAIROBI",997,997,997,997,997,997,997,1,1,1,2005-09-19,39900,24,0,202,1,4,4,2,4,4,5,0,2,2,0,1,7,0,0,0,4,1,3,4,2,1,1,3,4,3,1,0,2,3,5,2,1,2,1,1,1,4,3,2,0,2,3,1,1,3,3,1,2,0,0,1,0,1,0,2,2,1,"FREEDOM OF EXPRESSION",1,"NFR",996,"NFR",996,1,1,1,3,1,5,5,4,2,"RUEBEN NDOLO",3,"WAMWAI",3,"MOODY",3,"NARC",3,"2",3,"LSK, AG",2,2,3,2,2,2,1,4,9,4,4,5,0,3,9,2,5,4,4,5,2,5,2,0,0,2,0,0,2,2,1,0,2,2,2,2,2,1,1,1,2,2,1,1,0,0,7,0,0,0,2,3,3,3,2,3,2,0,0,3,23,19,1,3,2,2,1,3,4,4,2,1,3,3,4,1,1,4,1,2,1,1,"YES",2,"NO",2,2,4,2,4,1,2,1,3,3,7,7,7,7,7,7,7,7,7,7,0,1,1,1,1,1,0,2,7,2,3,2,3,3,2,2,3,2,0,0,202,2,3,1,3,0,3,0,0,0,0,997,7,9,9,9,9,1,0,6,4,5,1,0,0,1,0,0,3,10,1,0,0,997,998,9,7,17,1,42960,51,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,"KEN31",26,2,2,209,8,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0.6566475
"170","KEN0211",2,211,"KILIFI",3,7,997,997,997,997,997,1,2,1,2005-09-08,57480,18,1,208,3,4,4,3,4,4,5,1,2,1,0,1,7,1,0,0,4,1,4,1,2,2,2,4,3,0,0,0,2,4,1,3,1,1,1,1,1,1,3,2,0,0,0,5,7,2,1,0,0,1,0,0,0,2,0,0,1,3,"DK",999,"NFR",996,"NFR",996,2,2,1,9,1,1,1,3,1,"JOE HAMISI",3,"AISHA JUMWA",3,"MOODY AWORI",3,"NARC",9,"DK",9,"DK",9,1,9,9,9,1,1,2,9,4,2,9,2,3,1,2,4,4,4,4,3,4,3,3,2,2,1,3,0,1,1,2,2,2,3,2,2,1,1,1,2,9,2,1,0,0,7,0,0,7,9,3,3,2,1,2,1,0,0,3,8,20,2,3,2,2,1,3,3,4,2,2,3,3,3,2,2,9,9,3,2,1,"YES",2,"NO",2,2,3,2,3,3,2,2,9,3,7,7,7,7,7,7,7,7,7,7,0,1,1,1,1,2,0,2,9,2,2,2,0,1,1,2,3,3,0,1,208,4,4,1,5,0,3,2,2,1,0,997,7,2,3,9,9,9,7,5,200,6,1,0,0,0,0,0,0,23,1,2,1,5,201,9,7,19,2,60300,47,1,1,4,0,0,0,0,0,1,1,2,2,2,2,1,"KEN31",26,2,2,209,8,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1.095621548
"171","KEN0146",2,211,"MOMBASA",997,997,997,997,997,997,997,0,1,2,2005-09-07,43620,32,1,204,4,4,4,3,4,4,5,2,0,3,0,1,1,0,1,0,1,1,3,3,2,2,1,4,0,4,2,1,2,4,1,2,1,1,1,1,2,4,4,2,0,0,0,6,7,3,3,0,0,3,0,0,0,2,2,1,1,1,"  THERE SHOULD BE A RULLING PARTY AND THE OPPOSITION PARTY",3,"NFR",996,"NFR",996,2,1,1,3,1,4,1,4,1,"SHAKOMBO",3,"DK",9,"MOODY AWORI",3,"NARC",3,"MANY TIMES",2,"PRESIDENT",2,9,2,2,3,1,2,2,4,2,2,4,0,2,2,2,4,4,4,4,2,2,2,3,0,0,9,2,0,0,2,3,3,2,2,2,2,9,9,0,3,2,2,1,0,0,0,1,0,0,9,3,3,3,1,2,0,0,3,23,20,7,2,3,2,2,1,2,2,3,2,2,3,3,4,2,2,3,2,3,2,2,"YES",2,"N0",2,2,4,2,4,3,2,2,3,2,7,7,7,2,2,2,2,2,2,1,0,1,1,1,2,2,1,2,2,6,2,2,0,1,1,2,3,3,0,1,218,2,4,2,5,0,2,1,1,0,1,201,3,2,3,1,1,2,7,3,4,5,1,1,0,1,0,0,4,16,1,1,1,5,201,9,7,1,1,48600,83,1,4,2,0,0,0,0,0,1,1,1,1,1,1,1,"KEN31",26,2,2,209,8,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1.095621548
"172","KEN0522",1,216,"KERICHO",997,997,997,997,997,997,997,2,1,1,2005-09-10,36900,22,0,201,1,3,2,2,3,4,4,0,0,0,1,2,7,0,0,0,4,1,4,4,3,1,2,4,4,3,1,1,5,5,1,1,1,4,4,3,4,1,4,0,0,0,1,4,7,3,2,0,1,1,0,0,0,0,0,2,1,1,"FREEDOM ALL AROUND",1,"NFR",996,"NFR",996,1,5,1,3,4,4,1,4,4,"NOAH TOO",2,"DK",9,"MOODY AWORI",2,"LDP",2,"AS MANY SA AGE",2,"JUDICIARY",3,2,4,3,3,2,1,1,1,4,1,5,3,2,0,1,4,5,3,4,4,3,3,1,3,1,1,0,1,2,2,1,3,9,1,1,1,1,1,2,2,1,1,1,0,1,7,1,1,0,0,2,3,2,1,3,3,1,2,3,2,20,0,3,2,2,2,3,3,3,3,1,3,3,4,3,2,3,3,2,2,2,"YES",2,"YES",9,2,4,2,4,2,2,3,9,3,7,7,7,7,7,7,7,7,7,7,0,1,1,1,3,3,3,1,7,2,2,6,3,3,1,2,2,2,1,1,201,3,3,1,4,0,2,2,2,1,1,202,2,1,1,3,1,1,0,5,13,2,1,1,1,1,0,0,3,11,0,1,0,997,202,2,2,17,1,39900,50,1,1,4,0,0,0,0,0,0,1,1,1,1,1,1,"KEN73",21,2,2,200,8,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0.763914589
