occupation,length_withoutfood,n,freq,type,welfareINDX,freq1
0,0,601,46.445131,Informal,0,72.874806
0,1,342,26.429675,Informal,0,
0,2,240,18.547141,Informal,1,27.125194
0,3,98,7.573416,Informal,1,
0,4,13,1.004637,Informal,1,
1,0,466,66.857963,Formal,0,86.657102
1,1,138,19.799139,Formal,0,
1,2,65,9.325681,Formal,1,13.342898
1,3,27,3.873745,Formal,1,
1,4,1,0.143472,Formal,1,
